Nombre,Numero_Expediente,Edad
Alan Almada Gutierrez,9183781796,25
Isabel Monteverde Jimenez,3881250219,23
Teresa Ramos Córdova,6533639848,18
Luis Cruz Orozco,7831683135,25
Ernesto Ochoa Moreno,7219357258,23
Rafael Jimenez Arroyo,6332977958,18
Alan Alemán Mata,3260932922,25
Juan Galaz Espinoza,7178070714,22
Alan Aldama Andre,0367208999,20
Susana Pérez Nuñez,5841479235,21
Alan Leo Camacho,7653316902,18
Armando Fernandez Calles,1566667242,25
Ernesto Domínguez Ortiz,5807087472,18
Ernesto Arredondo Fernandez,2753083571,18
María Ochoa Pulido,4944154435,20
Ada Lobo Gutierrez,0189288149,18
María Ortiz Reyes,1176514638,20
Socorro García Wong,7469183285,21
Brian Reyes Medina,8462063203,18
María Yanes Ramos,0701154548,25
Sebastián Moreno Vazquez,6373682062,21
Juan Orozco Nuñez,7346209052,18
Juan Nuñez Arredondo,8648990921,20
Juan Arredondo Cuevas,4662420870,20
Julio Verduzco Ozuna,2837025688,25
Julián Tellez Rodríguez,5233600617,19
María Cadena Heras,8257127144,18
Rosa Fernandez Arvizu,6576577946,21
Rafael Peña Ramos,5859882746,18
Rafael Peña Coronado,3800353620,19
José Rosales Wong,4151522031,25
Sebastián Reza Reyes,7689969488,19
Rosa Coronado Peña,0018664673,20
Alan Yanes Galaz,1074276239,24
Eva Caro Encinas,7774842597,24
Kim Balderrama Alemán,8324563836,19
Domingo Jimenez Ayala,4644259745,21
Alan Piña Jimenez,1483228717,24
Adán Pino Encinas,8832551939,18
Rosa Ochoa Rosales,0158245359,22
Isabel Ochoa González,4008089704,21
Julián Ayala Arredondo,4158336797,22
Kevin Leo Caro,3267699730,23
Eva Castañeda Encinas,0725672390,22
Domingo Lobo Ortiz,8893782653,19
César Heras Reyes,6496553610,22
Kimberly Mendez González,3273540589,22
Isabel Mata Ayala,2337906830,25
Alberto Wong Arroyo,3485395955,19
Ernesto Verduzco Elías,8060105540,21
Armando Jimenez Islas,2110946592,25
Ada Heras Pulido,3195177665,23
Rafael Chávez Mendez,3026242198,21
Rafael Islas Piña,5348626871,20
Kenia Romero Pino,8267825490,18
Elvia Rodríguez Andre,6639404303,21
Mariana Wong García,7225673931,20
Ana Mata Alemán,4612505313,23
Mariana Verduzco Galaz,9188068640,24
Kenia Arroyo Elías,3220419272,21
Carlos Valle Lobo,1444190917,21
Rafael Garza Piña,7579314696,19
Adán Aldama Piña,0804580806,18
Brian Ramirez Alemán,3658104596,25
Karla Alemán Verduzco,0165472843,19
José Pulido Medina,3151801112,23
Karla Islas Rojas,9698360874,20
Domingo Ochoa Escalante,6468267761,20
Ana Encinas Coronado,9502023426,20
Karla Espinoza Heras,7219195328,25
Armando Encinas Nuñez,8896692114,18
Mario Rojas Cadena,0324838248,25
Julián Vazquez García,9701779727,24
Kevin Camacho Garza,6793332168,20
Raquel Elías Elías,6549536399,25
Lourdes Vazquez Valenzuela,9926927493,18
Julio Pino Rosales,5518631528,20
Raquel Escalante Reza,2500442277,25
Socorro Castañeda Pérez,9949524859,21
Rosa Piña Calles,3128034811,21
Rafael Peña Ayala,2378369071,22
Rafael Verduzco Galaz,5769101772,21
Rosa Gutierrez Nuñez,3019763494,25
María Mancera Orozco,5260873008,20
Sebastián Andre Rojas,4024550627,21
Luis Mancera Pulido,8131212071,25
Ada Caro Heras,7842555439,20
Mario Pérez Monteverde,1867635680,21
Domingo Piña Galaz,7818556449,18
Juan López Cuevas,1992912828,19
Luis Aldama Arvizu,7191512153,18
Armando López Cano,1475274893,21
Socorro Camacho Elías,1272989932,18
Karen Cuevas Balderrama,6948227554,22
Juan Escalante Medina,1673429779,20
Rosa Garza Reza,2084312430,25
Rafael Caro Nuñez,0216984297,25
Juan Orozco Pérez,2473371424,22
Raquel Rosas Balderrama,3341595391,20
Socorro Mata Orozco,4642547844,21
Armando Durazo Cadena,3144412530,22
Ernesto Ortiz Piña,8738049674,18
Socorro Ayala Rosales,2751394042,20
Karla Tellez Alemán,1416220386,23
Isabel Arredondo García,9794312742,18
Socorro Cadena Moreno,5475863836,21
Socorro Nuñez Durazo,4807310307,25
Juan Castañeda Domínguez,3936708787,20
Regina Córdova Peña,2416998349,22
Kim López Galaz,6999444364,24
Socorro Andre Espinoza,4205629836,24
Lourdes Ozuna Martínez,2180534337,18
Alan Córdova Reza,8670720305,24
Armando Encinas Durazo,8462106073,25
Karina Arvizu Pino,9240905871,23
Teresa Vazquez Arroyo,9999838938,22
Elvia Gutierrez Coronado,5263967855,20
Domingo Alemán Jimenez,8603255064,18
César Camacho Islas,0480766790,25
Karina Cadena Coronado,4606416605,25
Domingo Piña Rosales,1877157960,23
Lourdes Rojas Pino,4413786397,21
Ana Nuñez Ramirez,0731630617,22
Rosa Balderrama Caro,6944730456,22
Karen Reyes González,6291834349,22
Sebastián Arvizu Jimenez,4333471848,20
Ada Galaz Pulido,1140302351,19
Julián Espinoza Pino,4432162177,18
Brian Castañeda Domínguez,0937173783,22
Karen Ayala Aldama,8156027572,22
Lourdes Wong Ozuna,0026518413,20
Carlos Pulido Reza,8202954438,19
Mariana Reyes Galaz,4665262790,19
Czarina Pérez Alemán,1781931403,19
Fernanda Caro Ozuna,1183784252,25
César Mata Calles,7798786801,25
Rafael Rodríguez Galaz,5003474758,19
Mariana Aldama Flores,4617982884,18
Brian Piña Elías,4856444312,22
Sebastián Ozuna Fernandez,6868472984,18
Guadalupe Cruz Gutierrez,5339083884,25
Isabel Córdova Wong,5672524187,19
Adán Mendez Almada,4110440878,25
Julio Yanes Castañeda,9824605952,24
Sebastián Rodríguez Castañeda,7527988184,20
Alan Leo Peña,4178538833,22
Brian Yanes Andre,9712021876,21
Mario Domínguez Aldama,3421649205,21
Lourdes Romero Moreno,6748593014,25
Karina Arroyo Rodríguez,7515608308,21
Karina Ozuna Pino,6295530459,18
Susana Calles Valle,0156515482,20
Domingo Mancera Cadena,6432318106,22
Eva Mancera Peña,0594134204,22
Sebastián Pulido Romero,2885376632,21
Mario Galaz Valle,5340781083,20
Guadalupe Martínez Encinas,6160046426,25
Kenia Nuñez Romero,9062601160,22
Juan Cabada Camacho,9261414688,25
Ana Valle Peña,6203696857,23
Kimberly Orozco Galaz,0751975598,21
Regina Mendoza Peña,6906776025,21
Alberto Monteverde Peña,3241048891,25
Julián Durazo Romero,2067083823,23
César Cano Galaz,5760738465,21
Karina Encinas Escalante,7381668980,25
Ada Rodríguez Orozco,9894809222,19
Raquel Cuevas Verduzco,0544851607,19
América Valenzuela Rosales,0737014280,21
Czarina Cadena Elías,3700753228,23
Karen Ayala Mendoza,6728232201,23
Julián Heras Medina,1798066708,24
Regina Romero Valle,9709039638,25
Isabel Monteverde Reza,9105375079,21
Luis Fernandez Vazquez,8944050441,21
José Cabada Domínguez,5583779145,24
Brian Domínguez Garza,7345127372,20
Juan Arvizu Rosas,7165980916,21
Julio Mendoza Rojas,5910150947,25
Ana Tellez Rosas,6810229534,20
María Tellez Monteverde,0603737592,23
Eva Moreno Flores,0769487925,23
Julio Medina Alemán,8559427850,24
Julián Tellez Islas,6202302075,23
Rafael Coronado Mendez,7203859433,22
Karina Alemán Piña,4553164756,21
Karen Rojas Valenzuela,6444577144,25
Lourdes Cabada Galaz,8690870263,19
Mariana Castañeda Arredondo,0943079254,22
Ada Vazquez Arvizu,1132945011,18
Socorro Vazquez Cuevas,5889942979,25
Adán Ortiz Ayala,4253840567,24
Adán Encinas Encinas,8276464537,25
Socorro Durazo Ochoa,4205407895,24
Guadalupe Peña Valenzuela,5613123348,19
César Elías Jimenez,5390055010,21
Ernesto Espinoza Cano,9330606496,24
Sebastián Encinas Elías,8246783954,18
Ernesto Peña Pino,9778018362,24
Ada Nuñez López,6388421915,25
Alan García Nuñez,8316498936,25
Juan Orozco Rojas,8841641778,21
Carlos Coronado Pino,4645947987,20
Rafael Espinoza Medina,0296193738,24
Luis Mendez Monteverde,6800455174,19
Raquel Espinoza Domínguez,2737351367,25
Julio Ozuna Pulido,8592492060,19
Armando Orozco Islas,3386342877,21
Guadalupe Escalante Heras,0518677284,23
Ema Pulido Medina,9360453758,18
Lourdes Durazo Orozco,7357613621,23
Regina Ayala Ozuna,5690949132,18
Kenia Alemán Arredondo,7254353731,20
Alberto Cuevas Coronado,0945569753,21
Mariana Nuñez Wong,0725100498,24
